config_sequence,performance_ratio,score
"[1, 1, 0, 1, 61440, 460, 400, 3000, 0, 984, 4096]",1.0,21951.0
"[0, 1, 1, 0, 78765, 310, 541, 5582, 1, 1030, 6391]",0.34545123229010066,7583.0
"[1, 0, 1, 1, 43993, 488, 601, 5847, 3, 1515, 3737]",1.1754361988064326,25802.0
"[1, 0, 1, 1, 59321, 902, 590, 5058, 8, 568, 5710]",1.4205275386087195,31182.0
"[0, 0, 0, 0, 65688, 486, 201, 5627, 8, 1323, 8054]",0.3518746298574097,7724.0
"[0, 0, 1, 0, 39562, 648, 219, 5009, 3, 1532, 5890]",0.3446312240900187,7565.0
"[1, 1, 0, 1, 32022, 483, 468, 5039, 3, 897, 4119]",1.0157623798460207,22297.0
"[1, 1, 0, 1, 30657, 610, 242, 5768, 0, 1026, 3890]",1.010113434467678,22173.0
"[0, 1, 1, 1, 67383, 389, 527, 4561, 8, 1625, 7615]",0.3675003416700834,8067.0
"[0, 0, 1, 1, 74481, 711, 677, 4328, 5, 1150, 5835]",0.3736048471595827,8201.0
"[0, 1, 0, 0, 89614, 731, 758, 4189, 3, 1695, 5384]",0.349779053346089,7678.0
"[0, 0, 0, 1, 114948, 595, 589, 2696, 0, 650, 5246]",0.44143774771081046,9690.0
"[1, 0, 0, 1, 49285, 655, 321, 1691, 4, 1731, 6951]",1.1278301671905608,24757.0
"[1, 0, 0, 0, 40621, 842, 769, 2674, 5, 657, 5641]",1.156940458293472,25396.0
"[0, 1, 1, 1, 42862, 807, 547, 5027, 3, 1497, 3890]",0.366179217347729,8038.0
"[0, 1, 0, 0, 40652, 879, 498, 4647, 7, 1719, 3374]",0.3563846749578607,7823.0
"[0, 1, 1, 0, 95553, 572, 319, 1553, 8, 1092, 7398]",0.46093572046831577,10118.0
"[0, 0, 0, 1, 42861, 394, 403, 5981, 1, 550, 4517]",0.36057582798050203,7915.0
"[1, 0, 1, 0, 79604, 464, 472, 4700, 5, 804, 4393]",1.0497016081271924,23042.0
"[1, 0, 0, 1, 44942, 499, 412, 4868, 6, 1495, 6961]",1.3983417611953897,30695.0
"[1, 1, 0, 1, 62033, 835, 630, 4032, 7, 1412, 5149]",0.9943510546216573,21827.0
"[1, 1, 1, 0, 103229, 517, 538, 1971, 4, 1398, 5005]",0.8562252289189558,18795.0
"[0, 0, 1, 1, 92888, 237, 495, 5807, 4, 1441, 5678]",0.36877590998132204,8095.0
"[0, 0, 0, 1, 65595, 359, 622, 3568, 3, 768, 6147]",0.3856316340941187,8465.0
"[0, 0, 1, 0, 74810, 734, 625, 4751, 3, 677, 7526]",0.3572046831579427,7841.0
"[0, 0, 1, 1, 49799, 513, 374, 4031, 5, 1657, 6236]",0.3600747118582297,7904.0
"[1, 1, 0, 1, 30912, 534, 369, 1826, 1, 813, 6828]",0.992756594232609,21792.0
"[1, 1, 0, 1, 110617, 329, 564, 3218, 3, 1695, 7175]",1.0133479112568904,22244.0
"[1, 0, 1, 0, 51867, 768, 531, 3803, 1, 1900, 4581]",1.1674183408500751,25626.0
"[0, 0, 1, 0, 87949, 849, 743, 2522, 2, 1245, 3364]",0.3962461846840691,8698.0
"[0, 0, 1, 0, 77032, 426, 644, 4341, 0, 1681, 2177]",0.34495011616782834,7572.0
"[1, 1, 1, 0, 48736, 906, 434, 4229, 2, 1037, 3350]",0.8550863286410642,18770.0
"[0, 0, 1, 1, 46931, 541, 283, 2019, 3, 1277, 3895]",0.4920960320714318,10802.0
"[1, 1, 1, 0, 118440, 376, 343, 4724, 7, 542, 3007]",0.8534918682520158,18735.0
"[0, 0, 1, 1, 81260, 601, 751, 5582, 0, 809, 4286]",0.370552594414833,8134.0
"[0, 1, 1, 0, 111175, 303, 360, 2254, 4, 1319, 6828]",0.4321443214432144,9486.0
"[1, 1, 1, 1, 115676, 812, 474, 1893, 0, 1478, 6153]",1.0078811899230102,22124.0
"[0, 1, 0, 1, 103628, 787, 401, 2229, 6, 1197, 4370]",0.4990205457610132,10954.0
"[0, 0, 0, 1, 37147, 240, 516, 4755, 8, 1869, 5817]",0.3675003416700834,8067.0
"[0, 1, 1, 0, 104084, 861, 314, 5986, 2, 1495, 6814]",0.341442303311922,7495.0
"[1, 1, 1, 0, 66060, 234, 664, 3477, 8, 1815, 6272]",1.1780328914400255,25859.0
"[0, 1, 1, 0, 71739, 918, 488, 4382, 2, 1289, 7080]",0.348002368912578,7639.0
"[1, 0, 1, 0, 117616, 908, 467, 1558, 7, 1507, 4161]",0.976356430230969,21432.0
"[0, 0, 0, 0, 30144, 827, 484, 5898, 1, 1741, 3706]",0.3481845929570407,7643.0
"[0, 1, 1, 1, 38418, 878, 748, 2543, 6, 1549, 7257]",0.4756958680697918,10442.0
"[0, 0, 0, 1, 73757, 351, 799, 5460, 7, 1080, 5331]",0.3764748758598697,8264.0
"[0, 1, 0, 0, 75490, 863, 402, 2569, 3, 1882, 3088]",0.3591180356248007,7883.0
"[1, 0, 0, 0, 107713, 495, 351, 3490, 3, 770, 4725]",1.157760466493554,25414.0
"[0, 0, 0, 0, 58863, 882, 583, 4176, 3, 1560, 2982]",0.3399845109562207,7463.0
"[0, 0, 0, 0, 111993, 855, 414, 2299, 1, 1034, 3352]",0.4088196437519931,8974.0
"[1, 0, 0, 1, 40402, 235, 267, 5505, 2, 1028, 4012]",1.383536057582798,30370.0
"[0, 0, 1, 1, 48021, 676, 224, 2188, 6, 669, 5556]",0.4847159582706938,10640.0
