flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
abort-on-bad-builtin-profile-data,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Compiler/Tier Manager,0.17
abort-on-contradictory-flags,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
abort-on-far-code-range,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.43
abort-on-uncaught-exception,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Generic,Trace/Debug,Language mode/features,Trace/Debug,0.29
additive-safe-int-feedback,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
adjust-os-scheduling-parameters,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
allocation-buffer-parking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
allocation-site-pretenuring,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
allocation-site-tracking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
allow-natives-for-differential-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
allow-natives-syntax,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Debug,Language mode/features,Language mode/features,Testing/Fuzzing,0.00
allow-overwriting-for-next-flag,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
allow-unsafe-function-constructor,Generic,Generic,Generic,Generic,Testing/Fuzzing,Security,Language mode/features,Generic,0.43
always-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
always-osr-from-maglev,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,0.43
always-sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
always-use-string-forwarding-table,Data,Data,Data,Data,Data,Data,Data,Data,1.00
analyze-environment-liveness,Turbofan,Compiler/Tier Manager,Optimization,Turbofan,Optimization,GC/Memory,Optimization,Optimization,0.14
arm-arch,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
asm-wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
assert-hole-checked-by-value,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Trace/Debug,Testing/Fuzzing,0.57
assert-types,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,0.43
async-stack-traces,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Language mode/features,Trace/Debug,0.43
baseline-batch-compilation,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
baseline-batch-compilation-threshold,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
battery-saver-mode,Generic,Generic,Generic,Generic,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Generic,0.14
better-code-range-allocation,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.29
black-allocated-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
builtin-subclassing,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Optimization,Language mode/features,Language mode/features,Language mode/features,0.71
builtins-effects-src,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Turbofan,Compiler/Tier Manager,0.33
builtins-in-stack-traces,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.29
bytecode-compiler-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
bytecode-old-age,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,GC/Memory,GC/Memory,GC/Memory,0.14
bytecode-old-time,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,GC/Memory,GC/Memory,GC/Memory,0.14
cache-property-key-string-adds,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
cache-prototype-transitions,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
cet-compatible,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
check-handle-count,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,0.14
clear-exceptions-on-js-entry,Generic,Generic,Generic,Generic,Debug,Generic,Generic,Generic,0.71
clear-free-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
clone-object-sidestep-transitions,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
code-comments,Trace/Debug,Print,Print,Trace/Debug,Print,Print,Generic,Print,0.29
code-stats,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,0.14
compact,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
compact-code-space,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
compact-on-every-full-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
compact-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
compilation-cache,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-array-buffer-sweeping,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-builtin-generation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-cache-deserialization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
concurrent-maglev-high-priority-threads,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
concurrent-maglev-max-threads,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
