参数名,分类
--experimental,Generic
--test-only-unsafe,Testing/Fuzzing
--abort-on-contradictory-flags,Generic
--exit-on-contradictory-flags,Generic
--allow-overwriting-for-next-flag,Generic
--use-strict,Language mode/features
--trace-temporal,Trace/Debug
--harmony,Language mode/features
--harmony-shipping,Language mode/features
--js-staging,Language mode/features
--js-shipping,Language mode/features
--harmony-shadow-realm,Language mode/features
--harmony-struct,Language mode/features
--harmony-intl-best-fit-matcher,Language mode/features
--js-decorators,Language mode/features
--js-source-phase-imports,Language mode/features
--js-defer-import-eval,Language mode/features
--js-upsert,Language mode/features
--js-intl-locale-variants,Language mode/features
--harmony-import-attributes,Language mode/features
--harmony-temporal,Language mode/features
--harmony-remove-intl-locale-info-getters,Language mode/features
--js-regexp-duplicate-named-groups,Language mode/features
--js-regexp-modifiers,Language mode/features
--js-promise-try,Language mode/features
--js-atomics-pause,Language mode/features
--js-error-iserror,Language mode/features
--js-regexp-escape,Language mode/features
--js-explicit-resource-management,Language mode/features
--js-float16array,Language mode/features
--js-base-64,Language mode/features
--builtin-subclassing,Language mode/features
--enable-sharedarraybuffer-per-context,Language mode/features
--js-nonextensible-applies-to-private,Language mode/features
--for-of-optimization,Optimization
--icu-timezone-data,Generic
--icu-datetime-compat-lang,Generic
--icu-default-italian-number-grouping-always,Generic
--icu-british-remove-full-weekday-comma,Generic
--stress-snapshot,Testing/Fuzzing
--lite-mode,Generic
--enable-allocation-folding,Optimization
--disable-write-barriers,GC/Memory
--enable-unconditional-write-barriers,GC/Memory
--single-generation,GC/Memory
--conservative-stack-scanning,GC/Memory
--direct-handle,GC/Memory
--scavenger-conservative-object-pinning,GC/Memory
--stress-scavenger-conservative-object-pinning,Testing/Fuzzing
--stress-scavenger-conservative-object-pinning-random,Testing/Fuzzing
--scavenger-precise-object-pinning,GC/Memory
--scavenger-updates-allocation-limit,GC/Memory
--precise-object-pinning,GC/Memory
--scavenger-promote-quarantined-pages,GC/Memory
--scavenger-chaos-mode,Testing/Fuzzing
--scavenger-chaos-mode-threshold,Testing/Fuzzing
--local-off-stack-check,Testing/Fuzzing
--experimental-fuzzing,Testing/Fuzzing
--future,Language mode/features
--force-emit-interrupt-budget-checks,Compiler/Tier Manager
--maglev,Maglev
--maglev-future,Maglev
--optimize-on-next-call-optimizes-to-maglev,Maglev
--stress-maglev,Testing/Fuzzing
--maglev-as-top-tier,Maglev
--maglev-inlining,Maglev
--maglev-loop-peeling,Maglev
--maglev-optimistic-peeled-loops,Maglev
--maglev-loop-peeling-max-size,Maglev
--maglev-loop-peeling-max-size-cumulative,Maglev
--maglev-deopt-data-on-background,Maglev
--maglev-build-code-on-background,Maglev
--maglev-destroy-on-background,Maglev
--maglev-inline-api-calls,Maglev
--maglev-cons-string-elision,Maglev
--maglev-pretenure-store-values,Maglev
--maglev-poly-calls,Maglev
--maglev-truncation,Maglev
--maglev-licm,Maglev
--maglev-range-analysis,Maglev
--trace-maglev-range-analysis,Trace/Debug
--concurrent-maglev-max-threads,Maglev
--concurrent-maglev-high-priority-threads,Maglev
--max-maglev-inline-depth,Maglev
--max-maglev-hard-inline-depth,Maglev
--max-maglev-inlined-bytecode-size,Maglev
--max-maglev-inlined-bytecode-size-cumulative,Maglev
--max-maglev-inlined-bytecode-size-small-total,Maglev
--max-maglev-inlined-bytecode-size-small,Maglev
--max-maglev-inlined-bytecode-size-small-with-heapnum-in-out,Maglev
--min-maglev-inlining-frequency,Maglev
--maglev-reuse-stack-slots,Maglev
--maglev-untagged-phis,Maglev
--maglev-hoist-osr-value-phi-untagging,Maglev
--maglev-speculative-hoist-phi-untagging,Maglev
--maglev-cse,Maglev
--maglev-non-eager-inlining,Maglev
--turbolev-non-eager-inlining,Turbolev
--maglev-filter,Maglev
--maglev-print-filter,Print
--maglev-assert,Maglev
--maglev-assert-stack-size,Maglev
--maglev-break-on-entry,Maglev
--maglev-print-bytecode,Print
--maglev-print-feedback,Print
--maglev-print-inlined,Print
--maglev-print-provenance,Print
--print-maglev-code,Print
--trace-maglev-graph-building,Trace/Debug
--trace-maglev-loop-speeling,Trace/Debug
--trace-maglev-inlining,Trace/Debug
--trace-maglev-kna-processor,Trace/Debug
--print-maglev-deopt-verbose,Print
--print-maglev-graph,Print
--print-maglev-graphs,Print
--trace-maglev-phi-untagging,Trace/Debug
--trace-maglev-regalloc,Trace/Debug
--maglev-stats,Print
--maglev-stats-nvp,Print
--maglev-function-context-specialization,Maglev
--specialize-code-for-one-byte-seq-strings,Maglev
--additive-safe-int-feedback,Optimization
--turbolev-additive-safe-int-feedback,Turbolev
--enable-enumerated-keyed-access-bytecode,Ignition
--dict-property-const-tracking,Optimization
--script-context-cells,Optimization
--function-context-cells,Optimization
--function-context-cells-max-size,Optimization
--empty-context-extension-dep,Optimization
--json-stringify-fast-path,Optimization
--cache-property-key-string-adds,Optimization
--smi-string-cache-size,Data
--double-string-cache-size,Data
--trace-number-string-cache,Trace/Debug
--maglev-inline-date-accessors,Maglev
--turbofan-inline-date-accessors,Turbofan
--inline-date-accessors,Optimization
--extensible-ro-snapshot,GC/Memory
--max-opt,Compiler/Tier Manager
--efficiency-mode,Generic
--battery-saver-mode,Generic
--memory-saver-mode,GC/Memory
--efficiency-mode-disable-turbofan,Compiler/Tier Manager
--efficiency-mode-delay-turbofan-multiply,Compiler/Tier Manager
--wasm-trace-native,Wasm
--jitless,Compiler/Tier Manager
--disable-optimizing-compilers,Compiler/Tier Manager
--memory-protection-keys,GC/Memory
--force-memory-protection-keys,GC/Memory
--assert-types,Testing/Fuzzing
--turboshaft-assert-types,Turboshaft
--verify-simplified-lowering,Testing/Fuzzing
--trace-compilation-dependencies,Trace/Debug
--unmap-holes,GC/Memory
--assert-hole-checked-by-value,Testing/Fuzzing
--allocation-site-tracking,GC/Memory
--allocation-site-pretenuring,GC/Memory
--page-promotion,GC/Memory
--page-promotion-threshold,GC/Memory
--minor-ms-page-promotion-threshold,GC/Memory
--minor-ms-page-promotion-max-lab-threshold,GC/Memory
--minor-ms-max-page-age,GC/Memory
--trace-page-promotions,Trace/Debug
--trace-pretenuring,Trace/Debug
--trace-pretenuring-statistics,Trace/Debug
--trace-resize-large-object,Trace/Debug
--track-field-types,Optimization
--trace-block-coverage,Trace/Debug
--trace-protector-invalidation,Trace/Debug
--decommit-pooled-pages,GC/Memory
--zero-unused-memory,GC/Memory
--high-end-android,Generic
--high-end-android-physical-memory-threshold,Generic
--minor-ms-shortcut-strings,GC/Memory
--feedback-normalization,Optimization
--internalize-on-the-fly,Optimization
--unbox-double-arrays,Data
--string-slices,Data
--invocation-count-for-feedback-allocation,Compiler/Tier Manager
--invocation-count-for-maglev,Compiler/Tier Manager
--invocation-count-for-maglev-osr,Compiler/Tier Manager
--osr-from-maglev,Compiler/Tier Manager
--osr-from-maglev-interrupt-scale-factor,Compiler/Tier Manager
--always-osr-from-maglev,Compiler/Tier Manager
--invocation-count-for-turbofan,Compiler/Tier Manager
--invocation-count-for-osr,Compiler/Tier Manager
--osr-to-tierup,Compiler/Tier Manager
--minimum-invocations-after-ic-update,Compiler/Tier Manager
--minimum-invocations-before-optimization,Compiler/Tier Manager
--jit-fuzzing,Testing/Fuzzing
--use-std-math-pow,Optimization
--use-ic,Optimization
--lazy-feedback-allocation,Optimization
--stress-ic,Testing/Fuzzing
--ignition-elide-noneffectful-bytecodes,Ignition
--ignition-reo,Ignition
--ignition-filter-expression-positions,Ignition
--ignition-share-named-property-feedback,Ignition
--ignition-elide-redundant-tdz-checks,Ignition
--print-bytecode,Print
--enable-lazy-source-positions,Ignition
--stress-lazy-source-positions,Testing/Fuzzing
--print-bytecode-filter,Print
--omit-default-ctors,Ignition
--trace-ignition-codegen,Trace/Debug
--trace-ignition-dispatches-output-file,Trace/Debug
