flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--abort-on-bad-builtin-profile-data,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,,Turbofan,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Testing/Fuzzing, Compiler/Tier Manager, , Turbofan"
--abort-on-contradictory-flags,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--abort-on-far-code-range,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, GC/Memory, Compiler/Tier Manager, Testing/Fuzzing, Compiler/Tier Manager, , Optimization"
--abort-on-uncaught-exception,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Generic,Trace/Debug,,Language mode/features,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Generic, Trace/Debug, , Language mode/features"
--additive-safe-int-feedback,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--adjust-os-scheduling-parameters,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--allocation-buffer-parking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--allocation-site-pretenuring,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--allocation-site-tracking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--allow-natives-for-differential-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--allow-natives-syntax,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Debug,Testing/Fuzzing,,Language mode/features,no,"Testing/Fuzzing, Generic, Generic, Testing/Fuzzing, Debug, Testing/Fuzzing, , Language mode/features"
--allow-overwriting-for-next-flag,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--allow-unsafe-function-constructor,Generic,Generic,Generic,Generic,Testing/Fuzzing,Generic,,Language mode/features,no,"Generic, Generic, Generic, Generic, Testing/Fuzzing, Generic, , Language mode/features"
--always-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--always-osr-from-maglev,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Maglev,,Compiler/Tier Manager,no,"Maglev, Compiler/Tier Manager, Compiler/Tier Manager, Maglev, Compiler/Tier Manager, Maglev, , Compiler/Tier Manager"
--always-sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--always-use-string-forwarding-table,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--analyze-environment-liveness,Turbofan,Compiler/Tier Manager,Optimization,Turbofan,Optimization,Turbofan,,Optimization,no,"Turbofan, Compiler/Tier Manager, Optimization, Turbofan, Optimization, Turbofan, , Optimization"
--arm-arch,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--asm-wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--assert-hole-checked-by-value,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Trace/Debug,no,"Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Trace/Debug"
--assert-types,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Trace/Debug,no,"Testing/Fuzzing, Trace/Debug, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Trace/Debug"
