flag,category
experimental,Generic
test-only-unsafe,Generic
abort-on-contradictory-flags,Generic
exit-on-contradictory-flags,Generic
allow-overwriting-for-next-flag,Generic
use-strict,Language mode/features
trace-temporal,Trace/Debug
harmony,Language mode/features
harmony-shipping,Language mode/features
js-staging,Language mode/features
js-shipping,Language mode/features
harmony-shadow-realm,Language mode/features
harmony-struct,Language mode/features
harmony-intl-best-fit-matcher,Language mode/features
js-decorators,Language mode/features
js-source-phase-imports,Language mode/features
js-defer-import-eval,Language mode/features
js-upsert,Language mode/features
js-intl-locale-variants,Language mode/features
harmony-import-attributes,Language mode/features
harmony-temporal,Language mode/features
harmony-remove-intl-locale-info-getters,Language mode/features
js-regexp-duplicate-named-groups,Language mode/features
js-regexp-modifiers,Language mode/features
js-promise-try,Language mode/features
js-atomics-pause,Language mode/features
js-error-iserror,Language mode/features
js-regexp-escape,Language mode/features
js-explicit-resource-management,Language mode/features
js-float16array,Language mode/features
js-base-64,Language mode/features
builtin-subclassing,Language mode/features
enable-sharedarraybuffer-per-context,Language mode/features
js-nonextensible-applies-to-private,Language mode/features
for-of-optimization,Optimization
icu-timezone-data,Language mode/features
icu-datetime-compat-lang,Language mode/features
icu-default-italian-number-grouping-always,Language mode/features
icu-british-remove-full-weekday-comma,Language mode/features
stress-snapshot,Testing/Fuzzing
lite-mode,GC/Memory
enable-allocation-folding,Optimization
disable-write-barriers,GC/Memory
enable-unconditional-write-barriers,GC/Memory
single-generation,GC/Memory
conservative-stack-scanning,GC/Memory
direct-handle,GC/Memory
scavenger-conservative-object-pinning,GC/Memory
stress-scavenger-conservative-object-pinning,Testing/Fuzzing
stress-scavenger-conservative-object-pinning-random,Testing/Fuzzing
scavenger-precise-object-pinning,GC/Memory
scavenger-updates-allocation-limit,GC/Memory
precise-object-pinning,GC/Memory
scavenger-promote-quarantined-pages,GC/Memory
scavenger-chaos-mode,GC/Memory
scavenger-chaos-mode-threshold,GC/Memory
local-off-stack-check,GC/Memory
experimental-fuzzing,Testing/Fuzzing
future,Language mode/features
force-emit-interrupt-budget-checks,Compiler/Tier Manager
maglev,Maglev
maglev-future,Maglev
optimize-on-next-call-optimizes-to-maglev,Maglev
stress-maglev,Maglev
maglev-as-top-tier,Maglev
maglev-inlining,Maglev
maglev-loop-peeling,Maglev
maglev-optimistic-peeled-loops,Maglev
maglev-loop-peeling-max-size,Maglev
maglev-loop-peeling-max-size-cumulative,Maglev
maglev-deopt-data-on-background,Maglev
maglev-build-code-on-background,Maglev
maglev-destroy-on-background,Maglev
maglev-inline-api-calls,Maglev
maglev-cons-string-elision,Maglev
maglev-pretenure-store-values,Maglev
maglev-poly-calls,Maglev
maglev-truncation,Maglev
maglev-licm,Maglev
maglev-range-analysis,Maglev
trace-maglev-range-analysis,Maglev
concurrent-maglev-max-threads,Maglev
concurrent-maglev-high-priority-threads,Maglev
max-maglev-inline-depth,Maglev
max-maglev-hard-inline-depth,Maglev
max-maglev-inlined-bytecode-size,Maglev
max-maglev-inlined-bytecode-size-cumulative,Maglev
max-maglev-inlined-bytecode-size-small-total,Maglev
max-maglev-inlined-bytecode-size-small,Maglev
max-maglev-inlined-bytecode-size-small-with-heapnum-in-out,Maglev
min-maglev-inlining-frequency,Maglev
maglev-reuse-stack-slots,Maglev
maglev-untagged-phis,Maglev
maglev-hoist-osr-value-phi-untagging,Maglev
maglev-speculative-hoist-phi-untagging,Maglev
maglev-cse,Maglev
maglev-non-eager-inlining,Maglev
maglev-filter,Maglev
maglev-print-filter,Maglev
maglev-assert,Maglev
maglev-assert-stack-size,Maglev
maglev-break-on-entry,Maglev
maglev-print-bytecode,Maglev
maglev-print-feedback,Maglev
maglev-print-inlined,Maglev
maglev-print-provenance,Maglev
print-maglev-code,Print
trace-maglev-graph-building,Trace/Debug
trace-maglev-loop-speeling,Trace/Debug
trace-maglev-inlining,Trace/Debug
trace-maglev-kna-processor,Trace/Debug
print-maglev-deopt-verbose,Print
print-maglev-graph,Print
print-maglev-graphs,Print
trace-maglev-phi-untagging,Trace/Debug
trace-maglev-regalloc,Trace/Debug
maglev-stats,Maglev
maglev-stats-nvp,Maglev
maglev-function-context-specialization,Maglev
specialize-code-for-one-byte-seq-strings,Maglev
additive-safe-int-feedback,Optimization
turbolev-additive-safe-int-feedback,Turbolev
enable-enumerated-keyed-access-bytecode,Optimization
dict-property-const-tracking,Optimization
script-context-cells,Optimization
function-context-cells,Optimization
function-context-cells-max-size,Optimization
empty-context-extension-dep,Optimization
json-stringify-fast-path,Optimization
cache-property-key-string-adds,Optimization
smi-string-cache-size,Data
double-string-cache-size,Data
trace-number-string-cache,Trace/Debug
maglev-inline-date-accessors,Maglev
turbofan-inline-date-accessors,Turbofan
inline-date-accessors,Optimization
extensible-ro-snapshot,GC/Memory
max-opt,Compiler/Tier Manager
efficiency-mode,Compiler/Tier Manager
battery-saver-mode,Compiler/Tier Manager
memory-saver-mode,Compiler/Tier Manager
efficiency-mode-disable-turbofan,Compiler/Tier Manager
efficiency-mode-delay-turbofan-multiply,Compiler/Tier Manager
wasm-trace-native,Wasm
jitless,Compiler/Tier Manager
disable-optimizing-compilers,Compiler/Tier Manager
memory-protection-keys,GC/Memory
force-memory-protection-keys,GC/Memory
assert-types,Testing/Fuzzing
turboshaft-assert-types,Testing/Fuzzing
verify-simplified-lowering,Turbofan
trace-compilation-dependencies,Trace/Debug
unmap-holes,GC/Memory
assert-hole-checked-by-value,GC/Memory
allocation-site-tracking,GC/Memory
allocation-site-pretenuring,GC/Memory
page-promotion,GC/Memory
page-promotion-threshold,GC/Memory
